classe,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30
1,3,14,2,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0
1,3,14,2,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0
1,3,14,2,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0
0,0,8,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,1,0,0,1,1,0,1
0,0,8,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,1,0,0,1,1,0,1
0,0,8,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,1,0,0,1,1,0,1
0,0,8,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,1,0,0,1,1,0,1
0,0,8,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,1,0,0,1,1,0,1
0,0,38,3,3,0,0,0,0,0,1,1,3,0,0,0,3,0,0,0,7,2,7,1,0,1,1,1,0,0,0
0,0,38,3,3,0,0,0,0,0,1,1,3,0,0,0,3,0,0,0,7,2,7,1,0,1,1,1,0,0,0
0,0,38,3,3,0,0,0,0,0,1,1,3,0,0,0,3,0,0,0,7,2,7,1,0,1,1,1,0,0,0
0,0,38,3,3,0,0,0,0,0,1,1,3,0,0,0,3,0,0,0,7,2,7,1,0,1,1,1,0,0,0
0,0,38,3,3,0,0,0,0,0,1,1,3,0,0,0,3,0,0,0,7,2,7,1,0,1,1,1,0,0,0
0,0,12,1,7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0
0,0,12,1,7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0
0,0,12,1,7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0
0,0,12,1,7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0
0,0,12,1,7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0
0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0
0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0
0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0
0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0
0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0
1,0,14,2,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,3,2,1,1,1,1,0,0,0
1,0,14,2,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,3,2,1,1,1,1,0,0,0
1,0,14,2,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,3,2,1,1,1,1,0,0,0
1,0,14,2,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,3,2,1,1,1,1,0,0,0
1,0,14,2,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,3,2,1,1,1,1,0,0,0
1,0,5,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0
1,0,5,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0
1,0,5,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0
1,0,5,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0
1,0,5,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0
0,0,19,2,7,1,0,0,1,0,0,0,1,0,0,0,3,0,0,0,7,1,0,0,1,1,0,0,0,0,0
0,0,19,2,7,1,0,0,1,0,0,0,1,0,0,0,3,0,0,0,7,1,0,0,1,1,0,0,0,0,0
0,0,19,2,7,1,0,0,1,0,0,0,1,0,0,0,3,0,0,0,7,1,0,0,1,1,0,0,0,0,0
0,0,19,2,7,1,0,0,1,0,0,0,1,0,0,0,3,0,0,0,7,1,0,0,1,1,0,0,0,0,0
0,0,19,2,7,1,0,0,1,0,0,0,1,0,0,0,3,0,0,0,7,1,0,0,1,1,0,0,0,0,0
0,0,33,2,7,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,7,2,3,0,0,1,0,0,0,0,0
0,0,33,2,7,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,7,2,3,0,0,1,0,0,0,0,0
0,0,33,2,7,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,7,2,3,0,0,1,0,0,0,0,0
0,0,33,2,7,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,7,2,3,0,0,1,0,0,0,0,0
0,0,33,2,7,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,7,2,3,0,0,1,0,0,0,0,0
1,0,14,2,7,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0,5,0,0,0,0,0,0,1,0,0,0
1,0,14,2,7,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0,5,0,0,0,0,0,0,1,0,0,0
1,0,14,2,7,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0,5,0,0,0,0,0,0,1,0,0,0
1,0,14,2,7,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0,5,0,0,0,0,0,0,1,0,0,0
1,0,14,2,7,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0,5,0,0,0,0,0,0,1,0,0,0
1,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,3,0,1,0,0,1,1,0,0
1,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,3,0,1,0,0,1,1,0,0
1,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,3,0,1,0,0,1,1,0,0
1,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,3,0,1,0,0,1,1,0,0
1,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,3,0,1,0,0,1,1,0,0
0,0,12,2,7,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,5,2,0,0,1,1,1,1,0,0,0
0,0,12,2,7,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,5,2,0,0,1,1,1,1,0,0,0
0,0,12,2,7,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,5,2,0,0,1,1,1,1,0,0,0
0,0,12,2,7,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,5,2,0,0,1,1,1,1,0,0,0
0,0,12,2,7,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,5,2,0,0,1,1,1,1,0,0,0
1,0,10,2,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1,0,10,2,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1,0,10,2,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1,0,10,2,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1,0,10,2,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0,0,6,1,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0
0,0,6,1,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0
0,0,6,1,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0
0,0,6,1,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0
0,0,6,1,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0
1,0,14,2,5,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,7,2,5,2,0,0,0,0,0,0,0
1,0,14,2,5,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,7,2,5,2,0,0,0,0,0,0,0
1,0,14,2,5,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,7,2,5,2,0,0,0,0,0,0,0
1,0,14,2,5,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,7,2,5,2,0,0,0,0,0,0,0
1,0,14,2,5,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,7,2,5,2,0,0,0,0,0,0,0
0,0,25,2,3,1,0,0,0,0,1,1,1,0,0,0,3,2,0,0,5,2,5,2,0,0,0,1,0,0,0
0,0,25,2,3,1,0,0,0,0,1,1,1,0,0,0,3,2,0,0,5,2,5,2,0,0,0,1,0,0,0
0,0,25,2,3,1,0,0,0,0,1,1,1,0,0,0,3,2,0,0,5,2,5,2,0,0,0,1,0,0,0
0,0,25,2,3,1,0,0,0,0,1,1,1,0,0,0,3,2,0,0,5,2,5,2,0,0,0,1,0,0,0
0,0,25,2,3,1,0,0,0,0,1,1,1,0,0,0,3,2,0,0,5,2,5,2,0,0,0,1,0,0,0
1,0,32,2,5,1,0,0,1,0,0,1,1,0,0,0,5,0,0,0,7,0,3,0,0,1,0,0,0,0,0
1,0,32,2,5,1,0,0,1,0,0,1,1,0,0,0,5,0,0,0,7,0,3,0,0,1,0,0,0,0,0
1,0,32,2,5,1,0,0,1,0,0,1,1,0,0,0,5,0,0,0,7,0,3,0,0,1,0,0,0,0,0
1,0,32,2,5,1,0,0,1,0,0,1,1,0,0,0,5,0,0,0,7,0,3,0,0,1,0,0,0,0,0
1,0,32,2,5,1,0,0,1,0,0,1,1,0,0,0,5,0,0,0,7,0,3,0,0,1,0,0,0,0,0
1,0,5,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0
1,0,5,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0
1,0,5,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0
1,0,5,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0
1,0,5,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0
1,17,51,4,5,0,0,0,0,0,0,0,5,1,0,0,5,1,3,2,5,1,3,2,0,1,1,1,1,0,0
1,17,51,4,5,0,0,0,0,0,0,0,5,1,0,0,5,1,3,2,5,1,3,2,0,1,1,1,1,0,0
1,17,51,4,5,0,0,0,0,0,0,0,5,1,0,0,5,1,3,2,5,1,3,2,0,1,1,1,1,0,0
1,17,51,4,5,0,0,0,0,0,0,0,5,1,0,0,5,1,3,2,5,1,3,2,0,1,1,1,1,0,0
1,17,51,4,5,0,0,0,0,0,0,0,5,1,0,0,5,1,3,2,5,1,3,2,0,1,1,1,1,0,0
1,3,24,2,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0
1,3,24,2,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0
1,3,24,2,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0
1,3,24,2,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0
1,3,24,2,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0
0,0,14,2,7,1,0,0,0,0,1,1,1,0,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0
0,0,14,2,7,1,0,0,0,0,1,1,1,0,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0
0,0,14,2,7,1,0,0,0,0,1,1,1,0,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0
0,0,14,2,7,1,0,0,0,0,1,1,1,0,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0
0,0,14,2,7,1,0,0,0,0,1,1,1,0,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0
0,0,14,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,3,0,1,0,0,1,1,0,0
0,0,14,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,3,0,1,0,0,1,1,0,0
0,0,14,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,3,0,1,0,0,1,1,0,0
0,0,14,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,3,0,1,0,0,1,1,0,0
0,0,14,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,3,0,1,0,0,1,1,0,0
0,0,10,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0
0,0,10,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0
0,0,10,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0
0,0,10,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0
0,0,10,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0
0,0,24,2,3,1,0,0,1,1,0,0,1,0,0,0,5,0,0,0,5,0,3,0,1,1,0,0,0,1,0
0,0,24,2,3,1,0,0,1,1,0,0,1,0,0,0,5,0,0,0,5,0,3,0,1,1,0,0,0,1,0
0,0,24,2,3,1,0,0,1,1,0,0,1,0,0,0,5,0,0,0,5,0,3,0,1,1,0,0,0,1,0
0,0,24,2,3,1,0,0,1,1,0,0,1,0,0,0,5,0,0,0,5,0,3,0,1,1,0,0,0,1,0
0,0,24,2,3,1,0,0,1,1,0,0,1,0,0,0,5,0,0,0,5,0,3,0,1,1,0,0,0,1,0
1,0,4,1,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0
1,0,4,1,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0
1,0,4,1,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0
1,0,4,1,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0
1,0,4,1,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0
0,0,20,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,0,1,0,0,0,1,0,1
0,0,20,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,0,1,0,0,0,1,0,1
0,0,20,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,0,1,0,0,0,1,0,1
0,0,20,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,0,1,0,0,0,1,0,1
0,0,20,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,0,1,0,0,0,1,0,1
0,0,18,2,7,1,0,0,1,0,1,1,1,0,0,0,3,0,3,0,3,0,3,0,0,1,0,1,0,0,0
0,0,18,2,7,1,0,0,1,0,1,1,1,0,0,0,3,0,3,0,3,0,3,0,0,1,0,1,0,0,0
0,0,18,2,7,1,0,0,1,0,1,1,1,0,0,0,3,0,3,0,3,0,3,0,0,1,0,1,0,0,0
0,0,18,2,7,1,0,0,1,0,1,1,1,0,0,0,3,0,3,0,3,0,3,0,0,1,0,1,0,0,0
0,0,18,2,7,1,0,0,1,0,1,1,1,0,0,0,3,0,3,0,3,0,3,0,0,1,0,1,0,0,0
0,0,9,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,0,1,0,0,1,0,0,0
0,0,9,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,0,1,0,0,1,0,0,0
0,0,9,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,0,1,0,0,1,0,0,0
0,0,9,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,0,1,0,0,1,0,0,0
0,0,9,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,0,1,0,0,1,0,0,0
0,18,13,2,7,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,5,0,0,0,1,1,1,1,0,0,0
0,18,13,2,7,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,5,0,0,0,1,1,1,1,0,0,0
0,18,13,2,7,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,5,0,0,0,1,1,1,1,0,0,0
0,18,13,2,7,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,5,0,0,0,1,1,1,1,0,0,0
0,18,13,2,7,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,5,0,0,0,1,1,1,1,0,0,0
1,0,28,2,5,1,0,0,1,1,1,1,1,0,0,0,1,2,0,0,7,2,5,2,0,0,0,1,0,0,0
1,0,28,2,5,1,0,0,1,1,1,1,1,0,0,0,1,2,0,0,7,2,5,2,0,0,0,1,0,0,0
1,0,28,2,5,1,0,0,1,1,1,1,1,0,0,0,1,2,0,0,7,2,5,2,0,0,0,1,0,0,0
1,0,28,2,5,1,0,0,1,1,1,1,1,0,0,0,1,2,0,0,7,2,5,2,0,0,0,1,0,0,0
1,0,28,2,5,1,0,0,1,1,1,1,1,0,0,0,1,2,0,0,7,2,5,2,0,0,0,1,0,0,0
0,0,43,3,7,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0
0,0,43,3,7,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0
0,0,43,3,7,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0
0,0,43,3,7,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0
0,0,43,3,7,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0
1,0,10,2,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,5,2,0,0,1,1,0,0,1,0,1
1,0,10,2,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,5,2,0,0,1,1,0,0,1,0,1
1,0,10,2,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,5,2,0,0,1,1,0,0,1,0,1
1,0,10,2,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,5,2,0,0,1,1,0,0,1,0,1
1,0,10,2,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,5,2,0,0,1,1,0,0,1,0,1
0,0,59,4,7,1,1,1,0,1,1,1,1,2,0,0,5,0,5,1,7,2,7,1,0,1,0,0,0,0,0
0,0,59,4,7,1,1,1,0,1,1,1,1,2,0,0,5,0,5,1,7,2,7,1,0,1,0,0,0,0,0
0,0,59,4,7,1,1,1,0,1,1,1,1,2,0,0,5,0,5,1,7,2,7,1,0,1,0,0,0,0,0
0,0,59,4,7,1,1,1,0,1,1,1,1,2,0,0,5,0,5,1,7,2,7,1,0,1,0,0,0,0,0
0,0,59,4,7,1,1,1,0,1,1,1,1,2,0,0,5,0,5,1,7,2,7,1,0,1,0,0,0,0,0
1,0,13,1,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,5,2,3,2,0,0,0,0,0,0,0
1,0,13,1,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,5,2,3,2,0,0,0,0,0,0,0
1,0,13,1,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,5,2,3,2,0,0,0,0,0,0,0
1,0,13,1,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,5,2,3,2,0,0,0,0,0,0,0
1,0,13,1,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,5,2,3,2,0,0,0,0,0,0,0
0,0,10,2,3,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,3,0,0,0,1,1,0,0,0,0,0
0,0,10,2,3,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,3,0,0,0,1,1,0,0,0,0,0
0,0,10,2,3,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,3,0,0,0,1,1,0,0,0,0,0
0,0,10,2,3,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,3,0,0,0,1,1,0,0,0,0,0
0,0,10,2,3,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,3,0,0,0,1,1,0,0,0,0,0
1,11,21,2,7,1,0,0,0,0,0,1,1,0,0,0,3,0,0,0,7,2,0,0,0,0,0,1,0,0,0
1,11,21,2,7,1,0,0,0,0,0,1,1,0,0,0,3,0,0,0,7,2,0,0,0,0,0,1,0,0,0
1,11,21,2,7,1,0,0,0,0,0,1,1,0,0,0,3,0,0,0,7,2,0,0,0,0,0,1,0,0,0
1,11,21,2,7,1,0,0,0,0,0,1,1,0,0,0,3,0,0,0,7,2,0,0,0,0,0,1,0,0,0
1,11,21,2,7,1,0,0,0,0,0,1,1,0,0,0,3,0,0,0,7,2,0,0,0,0,0,1,0,0,0
1,3,10,1,7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0
1,3,10,1,7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0
1,3,10,1,7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0
1,3,10,1,7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0
1,3,10,1,7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0
1,0,9,1,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1,0,9,1,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1,0,9,1,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1,0,9,1,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1,0,9,1,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1,0,32,3,7,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,7,1,0,0,1,0,0,0,0,0,0
1,0,32,3,7,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,7,1,0,0,1,0,0,0,0,0,0
1,0,32,3,7,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,7,1,0,0,1,0,0,0,0,0,0
1,0,32,3,7,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,7,1,0,0,1,0,0,0,0,0,0
1,0,32,3,7,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,7,1,0,0,1,0,0,0,0,0,0
0,0,21,2,5,1,0,0,1,0,1,1,0,0,0,0,5,0,0,0,5,0,5,1,0,1,0,0,0,0,0
0,0,21,2,5,1,0,0,1,0,1,1,0,0,0,0,5,0,0,0,5,0,5,1,0,1,0,0,0,0,0
0,0,21,2,5,1,0,0,1,0,1,1,0,0,0,0,5,0,0,0,5,0,5,1,0,1,0,0,0,0,0
0,0,21,2,5,1,0,0,1,0,1,1,0,0,0,0,5,0,0,0,5,0,5,1,0,1,0,0,0,0,0
0,0,21,2,5,1,0,0,1,0,1,1,0,0,0,0,5,0,0,0,5,0,5,1,0,1,0,0,0,0,0
0,0,25,2,3,1,0,0,0,0,1,1,1,0,0,0,3,0,0,0,7,0,5,2,0,0,0,1,0,0,0
0,0,25,2,3,1,0,0,0,0,1,1,1,0,0,0,3,0,0,0,7,0,5,2,0,0,0,1,0,0,0
0,0,25,2,3,1,0,0,0,0,1,1,1,0,0,0,3,0,0,0,7,0,5,2,0,0,0,1,0,0,0
0,0,25,2,3,1,0,0,0,0,1,1,1,0,0,0,3,0,0,0,7,0,5,2,0,0,0,1,0,0,0
0,0,25,2,3,1,0,0,0,0,1,1,1,0,0,0,3,0,0,0,7,0,5,2,0,0,0,1,0,0,0
0,0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0
0,0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0
0,0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0
0,0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0
0,0,6,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0
0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0
0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0
0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0
0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0
0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0
0,0,11,2,7,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0
0,0,11,2,7,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0
0,0,11,2,7,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0
0,0,11,2,7,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0
0,0,11,2,7,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0
1,0,44,3,3,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,7,2,7,2,0,0,0,0,0,1,0
1,0,44,3,3,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,7,2,7,2,0,0,0,0,0,1,0
1,0,44,3,3,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,7,2,7,2,0,0,0,0,0,1,0
1,0,44,3,3,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,7,2,7,2,0,0,0,0,0,1,0
1,0,44,3,3,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,7,2,7,2,0,0,0,0,0,1,0
0,0,13,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,1,0,0,1,1,0,0
